NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Methylobacterium sp. XJLW	0	0	3864	0	0	0	101	52	0	0	0	0	0	0	0	0
Methylobacterium sp. WL1	0	0	74	10	0	0	5	3	0	0	1	0	0	0	0	0
Methylobacterium sp. 17Sr1-1	0	0	8	0	0	0	3	0	0	0	0	5	0	0	0	0
Methylobacterium organophilum	0	0	1618	0	1	0	4	0	8	1	0	0	9	0	4	0
Methylobacterium radiotolerans	0	0	2048	0	65	0	0	31	30	0	25	0	27	0	0	0
Methylobacterium radiodurans	0	0	107	0	0	0	2	0	0	0	0	0	3	0	2	0
Methylobacterium mesophilicum	0	0	38	0	0	0	0	0	0	0	0	0	1	0	6	0
Methylobacterium currus	0	0	36	6	1	0	29	5	3	1	2	0	9	0	0	0
Methylobacterium phyllosphaerae	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum sp. B1-46	0	0	176	0	4	0	0	0	0	0	21	0	0	0	0	0
Methylorubrum populi	0	0	38	15	1	10	5	6	7	0	7	1	1	0	1	0
Microvirga sp. VF16	0	0	92	2	0	0	0	3	0	0	0	0	0	0	4	0
Microvirga sp. 17 mud 1-3	0	0	76	4	0	0	0	0	0	0	0	0	0	0	0	0
Microvirga ossetica	0	0	19	1	0	0	2	1	0	1	0	0	1	0	1	0
Tardiphaga sp. 37S4	0	0	298	0	0	0	0	0	2	0	0	0	0	0	0	0
Tardiphaga sp. vice304	0	0	509	7	0	0	0	0	0	0	0	0	0	0	0	0
Tardiphaga robiniae	0	0	1137	0	0	0	0	0	0	0	2	0	0	0	0	0
Bradyrhizobium sp. 200	0	0	206	2	0	0	0	0	0	0	0	3	0	0	0	0
Bradyrhizobium sp. ORS 278	0	0	28	0	0	0	0	0	0	0	0	2	0	9	0	0
Bradyrhizobium sp. 323S2	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. CCBAU 051011	0	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0
Bradyrhizobium sp. 192	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. CCGE-LA001	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. CCBAU 53421	0	0	9	0	0	0	0	0	3	0	0	5	3	0	0	0
Bradyrhizobium sp. CW1	0	0	134	0	0	0	0	16	0	0	0	0	0	0	0	0
Bradyrhizobium sp. CCBAU 51753	0	0	8	0	0	0	0	2	1	0	0	6	0	0	0	0
Bradyrhizobium sp.	0	0	52	0	0	0	0	0	0	0	0	0	0	0	6	0
Bradyrhizobium sp. BTAi1	0	0	8	1	0	0	0	0	0	0	0	4	0	0	0	0
Bradyrhizobium sp. 41S5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. 40	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0
Bradyrhizobium sp. 195	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0
Bradyrhizobium guangzhouense	0	0	28	1	0	0	0	0	0	0	0	0	0	4	0	0
Bradyrhizobium lablabi	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium amphicarpaeae	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium icense	0	0	12	1	0	0	6	1	0	0	0	0	1	0	0	0
Bradyrhizobium paxllaeri	0	0	9	11	0	0	1	5	0	0	1	0	0	0	0	0
Bradyrhizobium canariense	0	0	22	0	0	0	0	0	0	0	2	0	0	0	0	0
Bradyrhizobium guangdongense	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0
Bradyrhizobium betae	0	0	9	0	0	0	0	0	14	0	0	0	2	0	0	0
Bradyrhizobium oligotrophicum	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Rhodopseudomonas sp. SK50-23	0	0	1752	0	0	0	0	2	1	0	0	0	0	0	0	0
Rhodopseudomonas palustris	0	0	2499	10	4	32	38	262	0	0	33	231	9	60	3	0
Rhodopseudomonas boonkerdii	0	0	692	4	0	23	0	65	0	0	0	68	4	0	0	0
Afipia carboxidovorans	0	0	324	0	0	0	2	0	1	0	0	0	0	0	0	0
Afipia sp. GAS231	0	0	34	6	0	0	0	0	0	0	2	16	0	0	0	0
Variibacter gotjawalensis	0	0	410	0	0	0	0	2	0	0	0	0	0	0	0	0
Nitrobacter hamburgensis	0	0	57	1	0	0	0	0	0	0	0	0	0	0	1	0
Rhizobium sp. SL42	0	0	186	3	0	0	2	5	0	0	0	0	0	0	0	0
Rhizobium sp. CIAT894	0	0	99	0	0	0	0	0	0	0	0	0	0	0	2	0
Rhizobium sp. CCGE531	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. NXC24	0	0	30	6	0	0	0	0	1	0	0	1	1	0	0	0
Rhizobium sp. WYJ-E13	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. ACO-34A	0	0	10	0	0	0	3	0	1	0	0	0	0	0	45	0
Rhizobium sp. N324	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. NZLR1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. NIBRBAC000502774	0	0	178	0	0	0	0	0	4	0	0	0	0	0	29	0
Rhizobium sp. 11515TR	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Rhizobium daejeonense	0	0	564	0	0	0	2	0	2	0	0	0	0	0	1	0
Rhizobium pseudoryzae	0	0	47	0	2	0	0	0	2	0	0	0	0	1	3	0
Rhizobium lentis	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium indicum	0	0	50	0	0	0	0	2	0	0	0	0	0	1	1	0
Rhizobium etli	0	0	186	0	0	0	0	0	4	0	0	0	0	0	1	0
Rhizobium bangladeshense	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium jaguaris	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
Rhizobium pusense	0	0	37	5	1	0	39	118	14	3	10	17	0	0	10	0
Neorhizobium galegae	0	0	897	0	0	0	1	0	0	0	0	0	1	0	10	0
Agrobacterium vitis	0	0	292	2	0	0	1	0	0	0	1	0	0	0	2	0
Agrobacterium sp. RAC06	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium salinitolerans	0	0	72	1	0	3	0	0	0	0	1	0	0	0	1	0
Agrobacterium vaccinii	0	0	12	7	0	0	0	40	0	1	0	0	0	0	10	0
Agrobacterium larrymoorei	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0
Agrobacterium rubi	0	0	3	1	0	0	0	0	3	0	0	0	0	0	3	0
Shinella sp. HZN7	0	0	783	0	0	0	0	15	0	0	0	0	0	0	2	0
Shinella sp. H4-D48	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
Shinella sp. PSBB067	0	0	50	0	0	0	0	0	0	0	0	2	0	0	2	0
Shinella zoogloeoides	0	0	77	0	0	0	0	0	0	1	5	0	0	0	13	0
Liberibacter crescens	0	0	565	0	0	1	0	0	1	0	0	0	0	0	0	0
Candidatus Liberibacter americanus	0	0	40	1	0	1	1	0	0	1	0	0	1	0	0	0
Sinorhizobium sp. BG8	0	0	309	0	0	2	0	0	0	0	0	0	0	0	0	0
Sinorhizobium fredii	0	0	205	4	0	0	0	15	0	1	0	0	8	0	0	0
Sinorhizobium medicae	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0
Ensifer adhaerens	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0
Ensifer mexicanus	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0
Ensifer sp. PDNC004	0	0	11	0	2	0	0	0	27	1	0	0	0	0	0	0
Ciceribacter thiooxidans	0	0	35	0	0	0	1	0	0	0	0	0	0	0	1	0
Georhizobium profundi	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium nitrativorans	0	0	887	5	0	0	4	3	0	0	1	0	1	0	0	0
Hyphomicrobium sp. MC1	0	0	1120	34	1	0	2	1	0	0	4	0	0	2	0	0
Hyphomicrobium denitrificans	0	0	168	1	0	0	2	0	0	0	0	0	0	0	0	0
Methyloceanibacter caenitepidi	0	0	163	0	0	0	0	0	0	0	1	0	0	0	0	0
Caenibius sp. WL	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0
Caenibius tardaugens	0	0	44	0	0	0	0	18	0	0	0	0	0	0	1	0
Ancylobacter polymorphus	0	0	953	5	0	2	4	0	0	0	5	0	0	0	5	0
Ancylobacter pratisalsi	0	0	76	0	0	0	1	0	0	0	0	0	0	0	0	0
Starkeya sp. ORNL1	0	0	137	1	0	0	5	0	0	0	2	0	0	0	2	0
Starkeya novella	0	0	53	0	1	0	0	3	1	0	0	0	0	0	9	0
Azorhizobium caulinodans	0	0	103	0	0	1	3	0	0	0	0	0	1	0	7	0
Mesorhizobium sp. 8	0	0	434	3	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	0	0	276	0	0	0	0	0	9	2	4	0	0	0	5	0
Mesorhizobium sp. NBSH29	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. DCY119	0	0	45	0	0	0	0	2	5	0	0	0	0	0	0	0
Mesorhizobium sp. L-8-3	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. PAMC28654	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. INR15	0	0	4	0	0	0	1	4	0	0	0	0	0	0	1	0
Mesorhizobium sp. M1D.F.Ca.ET.043.01.1.1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1	0	0	4	11	0	0	0	1	1	1	0	1	0	0	0	0
Mesorhizobium sp. 113-3-9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium terrae	0	0	109	4	0	0	3	0	0	0	0	0	0	1	0	0
Mesorhizobium ciceri	0	0	69	1	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium opportunistum	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter sp. MSH1	0	0	19	0	1	0	23	0	6	0	9	5	13	6	13	0
Aminobacter sp. MDW-2	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyllobacterium sp. T1293	0	0	138	0	0	0	0	1	0	0	1	0	1	0	0	0
Phyllobacterium sp. T1018	0	0	18	0	0	0	0	0	0	0	0	0	0	0	6	0
Phyllobacterium zundukense	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0
Hoeflea phototrophica	0	0	86	0	0	0	0	1	0	1	0	0	0	0	0	0
Hoeflea sp. IMCC20628	0	0	25	14	0	0	0	1	0	0	4	0	0	8	0	0
Nitratireductor sp. OM-1	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0
Nitratireductor kimnyeongensis	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquibium oceanicum	0	0	33	1	0	0	13	0	1	0	0	0	0	1	0	0
Roseitalea porphyridii	0	0	8	2	0	0	0	6	1	0	4	0	0	0	2	0
Terrihabitans soli	0	0	108	1	0	0	1	0	0	0	0	0	0	0	0	0
Aureimonas sp. SA4125	0	0	636	0	0	0	0	4	0	0	0	0	1	0	0	0
Aureimonas sp. AU20	0	0	248	0	0	0	2	0	0	0	0	0	0	0	2	0
Aureimonas sp. OT7	0	0	102	0	0	0	0	14	0	0	0	0	0	0	6	0
Aureimonas mangrovi	0	0	154	0	0	0	3	0	0	0	0	0	0	0	3	0
Aureimonas altamirensis	0	0	184	0	0	0	0	0	0	0	0	0	0	0	1	0
Aurantimonas sp. HBX-1	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0
Martelella mediterranea	0	0	232	0	0	0	2	0	0	0	0	0	0	0	2	0
Martelella endophytica	0	0	3	0	0	0	0	0	3	7	0	0	0	0	0	0
Kaistia sp. 32K	0	0	2486	0	0	0	1	0	0	0	0	0	1	1	3	0
Bartonella sp. Raccoon60	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella apis	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella alsatica	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella birtlesii	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella henselae	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Blastochloris viridis	0	0	93	0	0	0	0	2	0	0	0	0	0	0	3	0
Methylovirgula ligni	0	0	110	3	0	0	0	1	0	0	0	0	1	0	0	0
Beijerinckia indica	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocella silvestris	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0
Methylocystis heyeri	0	0	412	0	0	0	0	0	0	0	1	0	0	0	0	0
Methylocystis bryophila	0	0	127	2	2	0	0	4	0	0	0	0	0	0	0	0
Methylocystis parvus	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	0
Bosea sp. RAC05	0	0	263	0	0	0	0	0	0	0	0	0	3	0	0	0
Bosea sp. PAMC 26642	0	0	151	0	0	0	0	0	1	0	0	0	0	0	0	0
Bosea sp. Tri-49	0	0	55	0	1	0	0	0	0	0	3	0	0	0	3	0
Bosea sp. ANAM02	0	0	25	0	0	0	4	4	0	1	0	0	2	0	0	0
Bosea vaviloviae	0	0	50	0	0	0	1	0	0	0	0	0	0	0	2	0
Kaustia mangrovi	0	0	124	1	1	0	1	0	4	0	1	0	0	0	3	0
Pyruvatibacter mobilis	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
Phreatobacter cathodiphilus	0	0	432	79	0	0	0	0	0	0	0	0	0	2	1	0
Phreatobacter sp. NMCR1094	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0
Roseibium aggregatum	0	0	451	1	0	0	0	0	1	0	0	0	0	0	4	0
Roseibium alexandrii	0	0	9	0	0	0	3	0	0	0	0	0	1	0	0	0
Stappia indica	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0
Pseudovibrio sp. FO-BEG1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Labrenzia sp. PHM005	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella sp. 458	0	0	47	0	0	0	1	0	0	0	0	0	0	0	0	0
Brucella sp. BTU1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
Brucella canis	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella suis	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0
Chelatococcus daeguensis	0	0	40	0	0	0	11	0	0	0	2	0	0	0	4	0
Chelatococcus sp. CO-6	0	0	17	0	0	0	0	0	0	0	0	2	0	1	0	0
Cohaesibacter sp. ES.047	0	0	24	1	0	0	0	0	3	0	0	0	0	0	0	0
Sphingomonas sp. CL5.1	0	0	8916	0	0	0	0	13	0	0	0	0	1	0	8	0
Sphingomonas sp. NBWT7	0	0	1646	2	0	0	6	4	0	0	0	0	0	0	0	0
Sphingomonas sp. MM-1	0	0	5963	0	0	0	0	0	0	0	28	0	0	0	0	0
Sphingomonas sp. KC8	0	0	321	0	0	0	4	0	2	0	0	0	0	0	1	0
Sphingomonas sp. S2-65	0	0	338	1	2	0	3	0	4	0	0	0	0	0	3	0
Sphingomonas sp. LM7	0	0	306	0	0	0	5	0	0	0	1	0	0	0	0	0
Sphingomonas sp. AK-PDB1-5	0	0	238	0	2	0	0	5	0	0	0	0	0	0	2	0
Sphingomonas sp. HMP9	0	0	251	0	0	0	3	0	1	0	4	1	0	0	5	0
Sphingomonas sp. LK11	0	0	346	0	0	0	9	0	0	0	0	0	0	0	0	0
Sphingomonas sp. AAP5	0	0	80	0	2	0	13	4	1	0	1	0	0	0	1	0
Sphingomonas sp. HMP6	0	0	69	0	1	0	0	4	0	0	1	0	0	0	0	0
Sphingomonas sp. KRR8	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. NIC1	0	0	362	0	7	0	0	0	0	0	3	0	0	0	0	0
Sphingomonas sp. IC081	0	0	438	0	0	0	45	0	0	0	25	0	11	0	52	0
Sphingomonas psychrotolerans	0	0	2410	0	1	6	0	0	3	0	0	0	0	0	11	0
Sphingomonas lacunae	0	0	1431	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas aliaeris	0	0	1394	0	0	0	6	0	0	0	1	0	1	0	0	0
Sphingomonas panacisoli	0	0	1032	1	0	0	4	24	0	0	2	0	0	0	0	0
Sphingomonas alpina	0	0	376	20	0	3	0	0	1	0	0	0	1	0	0	0
Sphingomonas profundi	0	0	471	0	0	0	0	15	1	2	0	0	0	0	2	0
Sphingomonas changnyeongensis	0	0	268	0	1	0	0	11	0	0	0	0	2	0	4	0
Sphingomonas piscis	0	0	173	0	0	0	0	0	2	1	0	0	0	0	0	0
Sphingomonas koreensis	0	0	922	7	0	0	28	0	3	0	0	0	0	0	2	0
Sphingomonas rhizophila	0	0	241	0	0	0	0	33	0	0	0	0	0	0	0	0
Sphingomonas panacis	0	0	121	0	0	20	0	13	0	0	0	0	0	0	0	0
Sphingomonas suaedae	0	0	82	1	1	0	0	0	0	0	0	1	0	0	0	0
Sphingomonas insulae	0	0	106	0	0	0	3	30	1	0	0	0	0	0	1	0
Sphingomonas sanguinis	0	0	287	0	0	0	7	0	0	0	1	0	0	0	3	0
Sphingomonas sanxanigenens	0	0	201	0	0	0	3	36	0	0	3	0	2	0	0	0
Sphingomonas radiodurans	0	0	18	0	0	0	2	30	0	0	1	0	0	0	2	0
Sphingomonas ginsengisoli An et al. 2013	0	0	21	0	0	0	0	0	1	0	0	0	1	0	0	0
Sphingomonas sediminicola	0	0	11	0	0	0	3	0	0	0	1	0	0	0	3	0
Sphingobium sp. SYK-6	0	0	4580	0	0	0	0	0	0	0	0	0	0	0	2	0
Sphingobium sp. KCTC 72723	0	0	365	0	10	0	0	0	2	0	0	0	0	0	5	0
Sphingobium sp. SCG-1	0	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0
Sphingobium sp. CAP-1	0	0	338	0	8	0	22	0	1	0	6	0	0	0	9	0
Sphingobium sp. Cam5-1	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium sp. TKS	0	0	529	0	10	0	0	0	0	0	0	0	0	0	5	0
Sphingobium sp. YG1	0	0	65	0	21	0	32	0	3	0	4	0	7	0	64	0
Sphingobium sp. MI1205	0	0	138	0	0	0	0	0	6	0	17	0	0	0	0	0
Sphingobium sp. PAMC28499	0	0	164	0	0	0	0	0	0	0	0	0	0	0	11	0
Sphingobium sp. RSMS	0	0	472	0	0	0	0	0	2	0	0	0	0	0	0	0
Sphingobium sp. EP60837	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0
Sphingobium phenoxybenzoativorans	0	0	1236	0	0	0	3	9	2	0	0	0	0	0	5	0
Sphingobium chlorophenolicum	0	0	444	0	0	0	8	0	0	0	0	0	0	0	6	0
Sphingobium herbicidovorans	0	0	455	0	0	0	0	0	0	0	0	0	0	0	5	0
Sphingobium xenophagum	0	0	513	0	7	0	6	0	1	0	0	0	0	6	22	0
Sphingobium cloacae	0	0	151	0	0	0	0	0	0	0	0	0	0	0	6	0
Sphingobium baderi	0	0	98	0	7	0	5	0	0	0	10	0	5	0	11	0
Sphingobium amiense	0	0	35	0	0	0	0	31	0	0	0	0	7	0	11	0
Sphingosinithalassobacter tenebrarum	0	0	5814	0	0	0	7	0	1	0	3	0	0	0	0	0
Novosphingobium sp. Gsoil 351	0	0	478	10	0	0	0	6	0	1	0	0	0	0	0	0
Novosphingobium sp. P6W	0	0	282	0	0	0	3	0	0	0	0	0	0	0	1	0
Novosphingobium sp. THN1	0	0	174	0	0	0	0	0	0	0	0	2	0	0	2	0
Novosphingobium sp. EMRT-2	0	0	154	0	0	0	0	0	0	0	0	0	0	0	7	0
Novosphingobium sp. Sx8-5	0	0	18	0	0	0	0	0	0	0	1	0	0	0	8	0
Novosphingobium sp. KA1	0	0	480	0	0	0	18	0	0	0	0	0	0	0	22	0
Novosphingobium sp. ES2-1	0	0	5	0	0	0	0	16	0	0	0	0	0	0	1	0
Novosphingobium decolorationis	0	0	1174	0	3	0	7	0	0	0	7	0	5	0	4	0
Novosphingobium pentaromativorans	0	0	758	0	0	0	0	60	0	0	0	0	0	0	0	0
Novosphingobium ginsenosidimutans	0	0	51	0	0	2	5	0	0	0	0	0	0	0	0	0
Novosphingobium aromaticivorans	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis fribergensis	0	0	1070	0	0	0	2	0	0	0	0	0	1	0	3	0
Sphingopyxis sp. OPL5	0	0	19	0	0	3	0	0	0	0	0	0	0	0	1	0
Sphingopyxis sp. QXT-31	0	0	22	0	0	0	0	0	1	0	0	0	0	0	1	0
Sphingopyxis sp. PAMC25046	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. 113P3	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. FD7	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0
Sphingopyxis sp. BSN-002	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Sphingopyxis lindanitolerans	0	0	514	0	0	0	0	0	0	0	0	0	0	0	1	0
Sphingopyxis terrae	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis alaskensis	0	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0
Sphingorhabdus lacus	0	0	225	1	0	0	0	1	1	0	0	0	1	0	2	0
Sphingorhabdus sp. YGSMI21	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Sphingorhabdus sp. SMR4y	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
Rhizorhabdus wittichii	0	0	801	0	2	0	0	13	0	0	0	0	0	0	2	0
Rhizorhabdus phycosphaerae	0	0	98	0	0	0	1	0	1	0	1	0	0	0	3	0
Hankyongella ginsenosidimutans	0	0	1182	0	0	0	0	5	0	0	0	0	1	0	0	0
Novosphingopyxis iocasae	0	0	3022	11	0	0	38	0	0	0	5	0	0	0	3	0
Tardibacter chloracetimidivorans	0	0	3989	0	0	0	4	0	0	0	0	0	0	0	0	0
Parasphingopyxis algicola	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasphingopyxis sp. CP4	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	0
Citromicrobium sp. JL477	0	0	205	0	0	0	0	0	1	0	4	0	5	0	0	0
Aquisediminimonas profunda	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0
Parasphingorhabdus litoris	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyrobacter sp. CACIAM 03H1	0	0	12	2	0	0	0	48	0	0	0	0	2	0	4	0
Erythrobacter sp. SCSIO 43205	0	0	575	0	0	4	0	6	0	0	0	0	0	0	0	0
Erythrobacter sp. HL-111	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0
Erythrobacter neustonensis	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0
Erythrobacter aureus	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Erythrobacter mangrovi	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0
Croceicoccus sp. YJ47	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0
Croceicoccus sp. Ery15	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Croceicoccus marinus	0	0	165	5	0	0	0	0	0	0	0	0	0	0	0	0
Altererythrobacter sp. ZODW24	0	0	51	0	0	0	0	0	0	0	2	0	0	0	0	0
Altererythrobacter sp. TH136	0	0	15	1	1	0	0	0	0	0	0	0	0	0	2	0
Altererythrobacter epoxidivorans	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0
Altererythrobacter ishigakiensis	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Qipengyuania flava	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0
Qipengyuania seohaensis	0	0	8	0	0	0	0	0	2	0	0	0	0	0	3	0
Qipengyuania soli	0	0	4	0	0	0	0	2	0	0	0	0	16	0	0	0
Tsuneonella dongtanensis	0	0	82	0	0	0	0	0	0	0	2	0	5	0	5	0
Tsuneonella flava	0	0	34	0	0	0	0	0	0	0	14	0	0	0	0	0
Aurantiacibacter gangjinensis	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0
Aurantiacibacter atlanticus	0	0	25	0	0	0	0	0	3	0	39	0	0	0	0	0
Paraurantiacibacter namhicola	0	0	14	0	0	0	0	0	0	0	9	0	2	0	0	0
Pelagerythrobacter marensis	0	0	12	0	0	0	1	0	0	0	0	0	6	0	0	0
Sphingosinicella microcystinivorans	0	0	453	0	1	0	0	0	0	0	0	0	0	0	0	0
Polymorphobacter sp. PAMC 29334	0	0	124	0	0	0	0	0	0	0	4	0	0	0	0	0
Polymorphobacter sp. PAMC 29362	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
Sandaracinobacter sp. M6	0	0	189	0	1	0	0	0	0	0	0	0	0	1	0	0
Zymomonas mobilis	0	0	503	0	0	0	6	1	12	8	1	0	0	1	0	1
Roseomonas sp. FDAARGOS_362	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas marmotae	0	0	185	3	5	0	3	6	0	0	1	0	0	0	0	0
Acetobacter persici	0	0	24	0	3	0	0	1	11	0	3	0	1	0	0	0
Acetobacter pomorum	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter ghanensis	0	0	4	0	0	0	59	0	0	0	0	0	0	0	3	0
Gluconobacter albidus	0	0	28	2	0	0	0	0	1	0	0	0	0	0	0	0
Gluconobacter oxydans	0	0	111	0	2	0	0	0	0	2	3	0	0	0	0	0
Gluconobacter frateurii	0	0	4	0	0	0	6	0	1	0	0	0	0	0	0	0
Acidibrevibacterium fodinaquatile	0	0	43	1	0	0	1	0	0	0	0	0	0	0	1	0
Commensalibacter sp. AMU001	0	0	20	0	0	0	0	0	3	1	0	1	0	0	0	0
Granulibacter bethesdensis	0	0	10	4	1	0	0	0	0	0	1	0	0	0	1	0
Formicincola oecophyllae	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0
Entomobacter blattae	0	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0
Kozakia baliensis	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconacetobacter diazotrophicus	0	0	3	0	0	0	0	0	5	0	0	0	1	0	0	0
Magnetospirillum magneticum	0	0	108	0	0	0	0	0	0	0	1	0	0	0	0	0
Magnetospirillum sp. ME-1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypericibacter adhaerens	0	0	42	0	0	0	0	0	0	0	0	0	0	0	6	0
